,tenure,TotalCharges,OnlineSecurity,OnlineBackup,TechSupport,Contract,Churn
2142,21,1336.8,Yes,No,No,One year,No
1623,54,5129.45,No,Yes,No,Two year,No
6074,1,23.45,No,No,No,Month-to-month,Yes
1362,4,237.95,No,No,No,Month-to-month,Yes
6754,0,,Yes,Yes,Yes,Two year,No
1212,7,521.35,No,No,No,Month-to-month,No
2722,32,613.95,No internet service,No internet service,No internet service,Two year,No
4006,72,1414.65,No internet service,No internet service,No internet service,Two year,No
6791,19,733.35,No,No,No,Month-to-month,Yes
5466,10,219.5,No internet service,No internet service,No internet service,One year,No
5852,21,1474.75,No,No,No,Month-to-month,Yes
4195,45,3062.45,Yes,No,Yes,Month-to-month,No
4166,32,587.7,No internet service,No internet service,No internet service,One year,No
5234,40,4228.55,Yes,No,No,One year,No
3414,47,1875.25,Yes,No,Yes,Two year,No
1803,36,1901.25,Yes,Yes,Yes,Two year,No
6203,69,7234.8,Yes,Yes,Yes,One year,No
5285,71,5705.05,No,Yes,Yes,Two year,No
1323,71,1710.15,No internet service,No internet service,No internet service,Two year,No
5666,35,1930.9,Yes,No,No,One year,No
1941,3,189.1,No,No,No,Month-to-month,No
6601,72,7898.45,No,Yes,Yes,Two year,No
1902,72,6441.85,Yes,Yes,Yes,Two year,No
3704,68,5163.0,Yes,Yes,No,One year,No
387,42,2348.45,Yes,Yes,Yes,One year,No
5550,21,429.55,No internet service,No internet service,No internet service,One year,No
1032,8,729.95,No,No,No,Month-to-month,Yes
4523,10,720.45,Yes,No,No,Month-to-month,No
6582,71,7283.25,Yes,Yes,No,Two year,No
5587,46,4126.35,No,Yes,No,One year,No
3306,3,241.3,No,Yes,Yes,Month-to-month,No
6625,12,1094.5,No,Yes,No,Month-to-month,Yes
3316,26,1190.5,Yes,Yes,No,One year,No
1010,3,160.85,Yes,No,No,Month-to-month,No
3641,49,3721.9,No,No,Yes,Two year,No
931,33,2651.1,No,Yes,Yes,Two year,No
6352,42,4014.6,Yes,No,No,Month-to-month,No
691,31,2344.5,Yes,Yes,Yes,One year,No
533,68,7379.8,No,No,Yes,One year,No
6451,66,7862.25,Yes,Yes,Yes,One year,No
2227,58,1108.8,No internet service,No internet service,No internet service,One year,No
652,35,655.3,No internet service,No internet service,No internet service,Two year,No
33,1,20.2,No internet service,No internet service,No internet service,Month-to-month,No
4118,40,2971.7,No,Yes,No,Month-to-month,No
44,13,981.45,Yes,Yes,Yes,Month-to-month,No
6767,57,3171.6,Yes,No,Yes,Month-to-month,No
5100,1,75.3,No,No,No,Month-to-month,Yes
964,1,45.7,No,No,No,Month-to-month,Yes
5589,46,2460.15,No,No,Yes,Two year,Yes
2415,40,3640.45,No,No,No,Month-to-month,Yes
6202,21,1625.0,Yes,Yes,Yes,One year,Yes
2263,6,567.45,Yes,Yes,Yes,Month-to-month,Yes
5202,59,6555.2,Yes,Yes,Yes,Two year,No
4450,15,939.7,No,Yes,Yes,Month-to-month,Yes
5247,27,2724.6,No,No,No,Month-to-month,Yes
6306,71,8309.55,Yes,Yes,Yes,One year,No
5244,45,4192.15,No,No,No,Month-to-month,No
2316,4,73.05,No internet service,No internet service,No internet service,Month-to-month,No
2617,1,19.6,No internet service,No internet service,No internet service,Month-to-month,Yes
26,47,4749.15,No,Yes,No,Month-to-month,Yes
3605,34,1734.2,No,Yes,No,Month-to-month,No
63,18,957.1,No,No,Yes,One year,No
1044,8,447.75,Yes,No,Yes,One year,No
3660,7,249.55,No,No,Yes,One year,No
5360,5,453.75,Yes,No,No,Month-to-month,Yes
2656,39,2209.15,No,No,Yes,One year,No
1454,29,654.85,No internet service,No internet service,No internet service,Month-to-month,No
227,1,55.2,No,No,No,Month-to-month,Yes
6984,31,789.2,No,No,No,Month-to-month,No
3080,2,38.45,No,No,No,Month-to-month,No
3317,63,4448.8,Yes,Yes,Yes,One year,No
5035,20,1641.3,No,No,No,Month-to-month,No
3184,71,5894.5,No,Yes,Yes,Two year,No
2833,66,4017.45,Yes,Yes,No,Two year,No
3539,8,438.4,No,No,No,Month-to-month,Yes
969,2,174.8,No,No,No,Month-to-month,Yes
4603,3,101.1,Yes,No,Yes,Month-to-month,No
5751,47,1029.8,No internet service,No internet service,No internet service,Two year,No
2662,2,90.35,No,No,No,Month-to-month,Yes
4094,1,74.0,No,No,Yes,Month-to-month,No
6034,7,129.15,No internet service,No internet service,No internet service,One year,No
3813,69,7297.75,No,Yes,No,Two year,No
2387,5,550.6,No,Yes,No,Month-to-month,No
4224,71,1416.5,No internet service,No internet service,No internet service,Two year,No
6375,1,74.3,No,Yes,No,Month-to-month,Yes
3567,14,1208.35,No,Yes,Yes,Month-to-month,Yes
4148,29,601.6,No internet service,No internet service,No internet service,Month-to-month,No
2646,56,4534.45,No,Yes,Yes,Two year,No
6626,6,573.75,No,No,No,Month-to-month,Yes
252,1,40.2,No,Yes,No,Month-to-month,Yes
5435,46,4236.6,No,No,Yes,One year,No
